Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Bloco de Segunda;Humaitá;12/02/2018;17:00;Rua Marques, atrás da Cobal do Humaitá;Rua Marques, Voluntários da Pátria, Rua Martins Ferreira, Rua São Clemente e Rua Marques;5000
Vou Treinar e Volto Já;Tijuca;13/01/2018;17:00;Rua Martins Pena;Rua Martins Pena, Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Rua Martins Pena;500
Seca Copo;Ilha do Governador;12/02/2018;15:00;Rua Monjolos 546;Rua Monjolos, Praia da Pitangueiras, Rua Formosa, Est. Rio Jequiá, Rua Monjolos e volta a concentração;900
Só Cachaça;Santo Cristo;11/02/2018;17:00;Rua Nabuco de Freitas;Rua Nabuco de Freitas (ida e volta);500
Unidos do Complexo do Alemão;Bonsucesso;13/02/2018;18:00;Rua Nova Brasília;Rua Nova Brasília 02 até a Praça do Terço N°5;1000
Alegria de Quintino;Quintino Bocaiúva;11/02/2018;17:00;Rua Olina;Rua Olina, Rua Barros Leite, Elias da Silva, Nerval de Gouveia e finaliza na Praça de Quintino;300
Explosão de Paquetá;Ilha de Paquetá;11/02/2018;16:00;Praça São Roque;Rua Padre Juvenal, Rua Dr. Aristão, Curva da Pedra, Rua José Bonifácio, Rua Furkin Werneck, Praça das Barcas.;600
Vem Comigo Cachaçada;Ilha do Governador;17/02/2018;17:00;Rua Paramopama, em frente ao restaurante Bom Demais;Rua Paramopama, do Restaurante Bom Demais até a Praça da Ribeira, contornando a Praça e voltando ao local de concentração;1500
Porre Certo;Praça Seca;11/02/2018;17:00;Rua Carimã, esquina com Rua Parintins;Rua Parintins, Rua Florianópolis, Rua Urucuia, Rua Luiz Beltrão, Rua Parintins e Rua Carimã;500
Céu na Terra;Santa Teresa;03/02/2018;08:00;Largo dos Guimarães;Rua Pascoal Carlos Magno, Rua Monte Alegre, Rua Oriente, Rua Progresso, Largo das Neves;7000
Banda Devassa;Penha;17/02/2018;20:00;Rua Patagônia;Rua Patagônia, Rua Quito, Rua Montevidéu, Rua Nicarágua e Rua Patagônia;4000
Amigos da Sueca da Pedro Américo;Catete;13/02/2018;18:00;Rua Pedro Américo, nº 371;Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete e Rua Pedro Américo;950
Canela Fina;Quintino Bocaiúva;13/02/2018;18:00;Rua Pedro Reis;Rua Pedro Reis, Argentina Reis, Travessa Guerra, João Barbalho, 21 de Abril, Nervalde Gouveia, Praça de Quintino;200
Nova Geração do Zumbi;Ilha do Governador;12/02/2018;13:00;Rua Serrão, esquina com Rua Peixoto de Carvalho;Rua Peixoto de Carvalho, Estrada do Rio Jequiá, Rua Maldonado, Rua Fernandes da Fonseca, Rua Paramopama, Est. Do Jequiá, Peixoto de Carvalho;10000
Verde e Branco do Zumbi;Ilha do Governador;10/02/2018;11:00;Rua Peixoto de Carvalho;Rua Peixoto de Carvalho, Praia do Zumbi, Rua Pojuca, Estrada do Rio Jequiá, Rua Gaspar de Souza e Rua Peixoto de Carvalho;600
Amigos da Esquina;Engenho de Dentro;03/02/2018;20:00;Rua Pernambuco 886;Rua Pernambuco, Rua Barbacena e Rua Pernambuco;1000
Amigos da Esquina;Engenho de Dentro;10/02/2018;20:00;Rua Pernambuco 886;Rua Pernambuco, Rua Barbacena e Rua Pernambuco;1000
Alegria do Sapê;Bento Ribeiro;03/02/2018;15:00;Rua Picui;Rua Picui 895  até o número 500, Largo do Sapê e volta;800
Balanço do Pinto;Tijuca;11/02/2018;20:00;Rua Pinto de Figueiredo, nº 26;Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo;1000
Banda do Jiló;Tijuca;09/02/2018;21:00;Rua Pinto de Figueiredo, nº 26;Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo;1000
Banda do Tio Marco;Piedade;07/02/2018;20:00;Largo da Rua Porto Valter;RUA PORTO VALTER, RUA PADRE NOBREGA, RUA ANTONIO VARGAS, RUA GONÇALO COELHO, RUA SOUZA CERQUEIRA, Av don Helder Camara, Padre Nobrega, Porto valter;3000
Ainda Aguento;Ilha do Governador;14/02/2018;11:00;Praia da Engenhoca;Rua Praia da Engenhoca, Rua Novo Airão, Rua Fernandes da Fonseca, Pça Iaiá Garcia e retorna para origem pelo trajeto inverso.;800
Quem Num Guenta Bebe Água;Ilha de Paquetá;12/02/2018;15:00;Praia dos Tamoios;Rua Praia do Tamoios, Rua Furkin Werneck, Rua Pinheiro Freire, Rua Principe Regente, Rua Doutor Aristão e Praia das Moreninhas.;500
