Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Mistura de Santa;Santa Teresa;17/02/2018;18:00;Mirante do Rato Molhado;Segue pela Rua Aprazível até dispersar na lateral do Castelo São Valentim na parte alta da Rua Almirante Alexandrino.;500
Me Enterra na Quarta;Santa Teresa;14/02/2018;17:00;Praça Odílio Costa;Segue pela Rua Áurea até Rua Alm. Alexandrino, Rua Joaquim Murtinho e Largo do Curvello.;1500
Badalo de Santa Teresa;Santa Teresa;11/02/2018;17:30;Rua Monte Alegre 306 (em frente ao Centro Cultural);Segue pela Rua do Oriente, Rua Progresso até dispersar no Largo das Neves;1000
Filhos de Ismael;Estácio;04/02/2018;17:00;Praça Compositor Ismael Silva;Segue pela Rua Frei Caneca, Rua Visc. De Pirassununga, Rua Salvador de Sá, Rua do Estácio retorno na Rua São Carlos, Rua do Estácio até a origem.;2000
Muceludos de Padre Miguel;Padre Miguel;13/02/2018;17:00;Rua Pedro Melo 579;Segue pela Rua Japeju, Rua Olimpia Esteves, Rua Murundú, Rua Ceriba, Rua Maria Rosa, Largo da Tapiranga;300
Fofoqueiros de Plantão;Jardim Botânico;18/02/2018;12:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Segue pela Rua Jardim Botânico até a Pracá Santos Dumont;5000
Bloco dos Aposentados;Centro;09/02/2018;19:00;Buraco do Lume;Segue pelaGraça Aranha, Rua Santa Luzia, Rua México e Buraco do Leme;1200
Chora Me Liga;Aterro do Flamengo;04/02/2018;10:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;40000
Monobloco;Aterro do Flamengo;18/02/2018;09:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;200000
Orquestra Voadora;Aterro do Flamengo;13/02/2018;15:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;80000
Raízes do Varandão;Vila isabel;12/02/2018;17:00;Blv. 28 de Setembro 400, pista da direita;Segue pelo Boulevard em frente a quadra da U. de vila isabel, contorna a praça barao de Drumond, entra na rua  Barão de Cotegipe, Rua Mendes Tavares 73. bar varandão;500
Me Leva que Eu Vou;Bangu;10/02/2018;20:00;Rua Santa Cecília c/ Silva Cardoso;Segue Rua Santa Cecília e finaliza na Rua Santa Cecília com Rua Bangu;500
Bloco Galasextou;São Cristóvão;18/02/2018;20:00;Rua General Almerio de Moura (estacionamento);Segue Rua Teixeira Junior, Rua São Januário, Rua Francisco Palheta, Rua Ricardo Machado e retorna ao destino.;1500
Bloco Virtual;Leme;12/02/2018;09:00;Praça Almirante Julio de Noronha;Seque pela Av. Atlantica até a praça Julio de Noronha;5000
Os Monarcas;Ilha do Governador;03/02/2018;16:00;Praia da Engenhoca (Quiosque 5);Subida Rua Paramopama, retornando pela Praça Iaiá Garcia, pela Fernando da Fonseca, Rua do Airão até a Praia da Engenhoca;500
Unidos do Chapadão;Ramos;09/02/2018;20:00;Travessa dos Campeões;Travessa dos Campeões, Avenida dos Campeões até o nº 1,Rua Sargento Gerreira, TV. Horácio, Rua João Romariz, TV. Sargento Gerreira  voltando a Travessa dos Campeões;800
Unidos da Travessa Miracema;Méier;10/02/2018;19:00;Travessa Miracema;Travessa Miracema, Rua Dias da Cruz até a Magalhães Couto, retornando pela Dias da Cruz até a Travessa Miracema;1200
Pinto Sarado;Santo Cristo;03/02/2018;17:00;Travessa Sara;Travessa Sara, Rua Atilia, Rua Orestes, Rua Sara, Rua Santo Cristo, Rua da América e Rua Barão da Gamboa.;1500
Bloco do Ipê;Tijuca;03/02/2018;17:00;Rua Alm. Cochrane 36;Vira na Rua Dulce até a Rua São Francisco Xavier retornando a origem.;150
Bicho Solto com Desculpa pra Beber;Humaitá;13/02/2018;19:00;Estacionamento da Cobal do Humaitá;Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques;3000
É Tudo ou Nada?!;Humaitá;13/02/2018;12:00;Estacionamento da Cobal do Humaitá;Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques;3000
