ID;JOGADOR;SELECAO;ABREVIATURA SELECAO;COPA DO PENTEADO;COPAS QUE JOGOU;POSIÇÃO;IMAGEM;CARACTERISTICA
99;Messi;Argentina;ARG;Cabelo em 2010;2006, 2010 e 2014;Atacante;jogadores/messi_argentina;cabelo comprido
100;Raul Meirelles;Portugal;POR;Cabelo em 2014;2010 e 2014;Defensor;jogadores/meirelles_portugal;cabelo curto, careca, barba, bigode
101;Bacary Sagna;França;FRA;Cabelo em 2014;2010 e 2014;Defensor;jogadores/sagna_franca;cabelo comprido
102;Benoit Assou-Ekotto;Camarões;CAM;Cabelo em 2014;2010 e 2014;Defensor;jogadores/Ekotto_camaroes;cabelo comprido, bigode, barba
103;Carlos Tévez;Argentna;ARG;Cabelo em 2010;2006 e 2010;Atacante;jogadores/tevez_argentina;cabelo comprido
104;Christhian Ziege;Alemanha;ALE;Cabelo em 2002;1998 e 2002;Defensor;jogadores/ziege_alemanha;cabelo curto, careca
105;Rivaldo;Brasil;BRA;Cabelo em 2002;1998 e 2002;Meia;jogadores/rivaldo_brasil;cabelo curto, careca
106;Zé Roberto;Brasil;BRA;Cabelo em 2006;2006;Meia;jogadores/zeroberto_brasil;cabelo curto, barba
107;Willian;Brasil;BRA;Cabelo em 2014;2014;Atacante;jogadores/willian_brasil;cabelo comprido
108;Raheem Sterling;Inglaterra;ING;Cabelo em 2014;2014;Atacante;jogadores/sterling_inglaterra;cabelo curto
109;Hidetoshi Nakata;Japão;JAP;Cabelo em 2002;2002, 2006 e 2010;Atacante;jogadores/nakata_japao;cabelo curto
110;Sergio Agüero;Argentina;ARG;Cabelo em 2014;2014;Atacante;jogadores/aguero_argentina;cabelo curto
111;Samuel Eto'o;Camarões;CAM;Cabelo em 2014;2014;Meia;jogadores/etoo_camaroes;cabelo curto
113;Chris Waddle;Inglaterra;ING;Cabelo em 1990;1990;Meia;jogadores/waddle_inglaterra;cabelo comprido
114;Kazuyuki Toda;Japão;JAP;Cabelo em 2002;2002;Defensor;jogadores/toda_japao;cabelo curto, careca
